symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version,suspended_during_hold
02553.HK,20260603,20260604,20.240219999999997,20260604,24.263975735999995,4940,19877.35333584,383.6849124588479,219.8708241599872,19493.668423381154,0.19496264000000005,take_profit,1,reversal_first_day_daily,False
02632.HK,20260324,20260325,28.228199999999998,20260325,33.839966159999996,3542,19876.875738720002,383.675693585184,219.86554127998758,19493.200045134818,0.19496264000000005,take_profit,1,reversal_first_day_daily,False
02649.HK,20260309,20260310,6.296289999999999,20260310,5.786794213199999,15882,-8091.8120859575865,322.19011786289326,191.89564355758705,-8414.00220382048,-0.08414197599999988,stop_loss,1,reversal_first_day_daily,False
02677.HK,20260206,20260209,69.86979999999998,20260209,64.21593578399998,1431,-8090.679693095997,322.1450295951887,191.86878909598107,-8412.824722691186,-0.084141976,stop_loss,1,reversal_first_day_daily,False
02692.HK,20260309,20260310,75.07499999999999,20260310,89.99990999999999,1332,19879.980120000007,383.73561626399993,219.8998799999896,19496.24450373601,0.19496264000000013,take_profit,1,reversal_first_day_daily,False
02701.HK,20260323,20260324,11.741729999999999,20260324,10.7915892084,8516,-8091.398981265593,322.17366935321564,191.8858468655885,-8413.572650618808,-0.08414197599999994,stop_loss,1,reversal_first_day_daily,False
02715.HK,20260309,20260310,12.522509999999999,20260312,13.59639,7985,8574.931800000006,358.83847395,208.5681999999905,8216.093326050006,0.08216730751263132,holding_period,3,reversal_first_day_daily,False
02726.HK,20260330,20260331,102.10199999999999,20260331,93.83990615999998,979,-8088.589869360003,322.06181948740794,191.81922935999512,-8410.65168884741,-0.08414197600000003,stop_loss,1,reversal_first_day_daily,False
02768.HK,20260204,20260205,40.22017999999999,20260209,41.178779999999996,2486,2383.0795999999973,345.19982455199994,202.36039999998764,2037.8797754479974,0.020381372435429156,holding_period,3,reversal_first_day_daily,False
03355.HK,20260323,20260324,50.30024999999999,20260324,46.229953769999995,1988,-8091.748905239991,322.18760220847196,191.8941452399758,-8413.936507448463,-0.08414197599999992,stop_loss,1,reversal_first_day_daily,False
03388.HK,20260529,20260601,22.822799999999997,20260601,20.975979024,4381,-8090.922695855974,322.15470518911684,191.87455185598193,-8413.077401045091,-0.08414197599999976,stop_loss,1,reversal_first_day_daily,False
03625.HK,20260331,20260401,82.082,20260401,75.43992456,1218,-8090.047885919994,322.11987305097597,191.85380591999683,-8412.16775897097,-0.08414197599999995,stop_loss,1,reversal_first_day_daily,False
03986.HK,20260113,20260114,230.22999999999996,20260116,271.728,434,18010.132000000027,379.34967839999996,217.86799999997947,17630.782321600025,0.17644930026495273,holding_period,3,reversal_first_day_daily,False
06810.HK,20260429,20260430,86.08599999999998,20260504,79.11992088,1161,-8087.61785831998,322.02311711169597,191.79617831997993,-8409.640975431676,-0.08414197599999981,stop_loss,2,reversal_first_day_daily,False
07489.HK,20260319,20260320,6.32632,20260323,5.8143941856,15806,-8091.499422406399,322.1776685987059,191.88822880639322,-8413.677091005105,-0.084141976,stop_loss,2,reversal_first_day_daily,False
07666.HK,20260513,20260514,24.144119999999997,20260515,22.1903778096,4141,-8090.446410446384,322.1357410250179,191.86325684637995,-8412.582151471403,-0.08414197599999985,stop_loss,2,reversal_first_day_daily,False
08610.HK,20260113,20260114,0.6906899999999999,20260114,0.6347993652,144782,-8091.957887613578,322.19592321925006,191.89910121358753,-8414.153810832828,-0.08414197599999979,stop_loss,1,reversal_first_day_daily,False
09611.HK,20260122,20260123,32.1321,20260127,30.969,3112,-3619.567200000005,332.02027584,196.36719999999565,-3951.587475840005,-0.03951781302809345,holding_period,3,reversal_first_day_daily,False
